date,city,trips,users,subscribers,occasional_users,new_subscribers,total_subscribers,bikes_available,bikes_in_maintenance,bike_maintenance_cost,stations,station_maintenance_cost,trips_per_user,trips_per_bike,trips_per_1k_residents,avg_trip_duration,avg_trip_distance,saved_CO2,daily_subcribers_revenue,daily_occasional_users_revenue,daily_revenue,daily_operational_expenses,daily_operating_income
2020-02-12,Toulon,474,159,120,38,2,594,261,1,55,43,0,2,1.8161753545114618,2.896789491969916,16.249946032304052,3.9418865231496847,123.4163844891604,196.09075592817064,317.84267305594824,513.9334289841189,55.90245749631864,458.0309714878003
2020-02-13,Toulon,603,238,182,56,3,597,260,2,71,43,350,2,2.3127624698099845,3.6819387276963083,17.71550495269536,4.356302400700825,173.35897945223766,197.02243209566618,435.9960458507152,633.0184779463814,421.7137138994597,211.30476404692166
2020-02-14,Toulon,572,191,143,48,2,599,260,2,67,43,0,2,2.194957462923794,3.495944373597915,15.217064534328351,3.478403379970263,131.43051911991748,197.80725393021171,372.87908205806093,570.6863359882726,67.46499263971418,503.22134334855843
2020-02-15,Toulon,757,232,140,92,5,604,260,2,89,43,0,3,2.9114442126743096,4.624609972922504,12.326957127117064,3.1361026966842713,156.7534660524553,199.3200913354468,645.6542634679031,844.9743548033499,89.2460647088803,755.7282900944696
2020-02-16,Toulon,756,269,165,104,5,609,260,2,89,43,0,2,2.9072077887347656,4.617954304298735,16.66424836966109,4.028883413805297,201.08797305277827,201.0382152047423,835.5446603048533,1036.5828755095956,89.1176231243671,947.4652523852285
2020-02-17,Toulon,631,204,154,50,3,611,260,2,74,43,0,3,2.4217574386381298,3.8538764642810617,14.785977254152238,3.307691204818037,137.7762985374717,201.8708330427984,396.55529032747023,598.4261233702687,74.37239255311835,524.0537308171504
2020-02-18,Toulon,564,212,157,56,3,614,260,2,66,43,0,2,2.1617824810056625,3.4435368161685505,14.350393747794048,3.428674744665679,127.60943453492017,202.7896076196226,373.95409359881205,576.7437012184346,66.45362772700572,510.29007349142887
2020-02-19,Toulon,694,214,158,55,3,617,260,2,81,43,0,3,2.6664054150652565,4.239290817047165,13.633739019994703,3.19898710432619,146.57417719950766,203.70342249413565,423.61849827942024,627.3219207735559,81.81014718931266,545.5117735842432
2020-02-20,Toulon,495,196,145,51,3,619,261,1,58,43,0,2,1.894798744429702,3.02129634058328,15.60920847092311,3.6549921841854234,119.35250608456028,204.5473662496682,353.7164949570281,558.2638612066962,58.30519985364332,499.9586613530529
2020-02-21,Toulon,656,192,145,48,2,622,260,2,77,43,973,3,2.5197475604223736,4.00833373847191,15.853374154186318,3.609779203009404,156.38542616295953,205.33234817741715,433.9290057319539,639.2613539093711,1050.8809513483848,-411.61959743901366
2020-02-22,Toulon,754,284,167,116,6,628,260,2,88,43,0,2,2.8976747686321316,4.602976599195731,14.001081765032255,3.450488779427389,171.66080771682763,207.25409309477823,765.9259955984921,973.1800886932704,88.82858226543203,884.3515064278383
2020-02-23,Toulon,768,215,128,87,4,632,260,2,90,43,0,3,2.9512093129347496,4.687072924094437,15.016659089387582,3.535286237900617,179.09277194788822,208.68247949769543,784.0960077200796,992.778487217775,90.45147935245838,902.3270078653167
2020-02-24,Toulon,664,310,228,82,4,636,260,2,78,43,0,2,2.5505893865223346,4.056924690006145,17.230942713472043,3.879292542297624,170.09879716291053,210.03081024142398,534.397780607501,744.428590848925,78.29083220493453,666.1377586439904
2020-02-25,Toulon,613,282,211,71,4,640,260,2,72,43,0,2,2.352977692034725,3.7453940101618857,18.1789116092347,4.2054044898818095,170.23821261426082,211.20458837144184,492.6973621724147,703.9019505438566,72.2788901438806,631.623060399976
2020-02-26,Toulon,433,133,100,33,2,641,261,1,50,43,0,3,1.6557333741334421,2.642486415540027,17.942153137841288,4.231628711752756,120.85707626780383,211.7556318014951,325.03821971051025,536.7938515120054,50.99489795127299,485.7989535607324
2020-02-27,Toulon,592,192,145,47,2,644,260,2,69,43,0,3,2.26950207108102,3.613657004913455,15.77191743539278,3.604756295961437,140.79090571016846,212.5320118965195,390.9131321519936,603.445144048513,69.7366196899842,533.7085243585288
2020-02-28,Toulon,586,185,138,47,2,646,260,2,69,43,0,3,2.247418582662803,3.578792090339177,13.159969333120829,3.0645446375724537,118.53706930567787,213.30302790889107,339.6346099728071,552.9376378816982,69.06379399432899,483.87384388736916
2020-02-29,Toulon,742,217,130,87,4,650,260,2,87,43,0,3,2.852966219429734,4.532718896788994,12.467102817578843,2.912996991703245,142.7087452938205,214.73822797886896,644.31032454584,859.048552524709,87.47274393701046,771.5758085876985
2020-03-01,Toulon,982,341,207,134,7,657,259,3,115,43,0,2,3.788346189017612,5.997723928391181,11.437771352532428,2.7043199188353673,175.30580757860056,216.95678764246566,798.70472161287,1015.6615092553357,115.74451920340762,899.916990051928
2020-03-02,Toulon,757,245,183,62,3,660,260,2,89,43,0,3,2.9103964048592874,4.62296382558883,14.95885569567738,3.566208936279413,178.18824246668296,217.98286379237166,493.7167088634367,711.6995726558083,89.21429723609414,622.4852754197142
2020-03-03,Toulon,874,258,195,63,3,663,259,3,103,43,0,3,3.3660014764930892,5.337515854687419,17.066568412060136,4.082748355812091,235.5285486124287,219.02448883493022,610.7807997849484,829.8052886198786,103.00377505155943,726.8015135683193
2020-03-04,Toulon,848,320,237,83,4,667,259,3,99,43,0,2,3.2638857601484044,5.177574434844331,13.14213261073369,3.0128996618383725,168.60202447003658,220.38712158428686,513.9618584071764,734.3489799914632,99.91721372238297,634.4317662690803
2020-03-05,Toulon,802,314,240,74,4,671,259,3,94,43,0,2,3.085732576423634,4.89824342617836,17.23003917524605,3.879416413184825,205.38017916724007,221.61598014575807,565.5850052116527,787.2009853574108,94.52666329314403,692.6743220642668
2020-03-06,Toulon,827,231,174,57,3,674,259,3,97,43,0,3,3.183510305604999,5.051597962137546,14.51891988438081,3.228429901036245,176.2673622530263,222.56379958902824,505.0277362315724,727.5915358206007,97.48611045079586,630.1054253698048
2020-03-07,Toulon,1010,296,180,116,6,680,259,3,119,43,0,3,3.8976888728363126,6.168307607623347,14.12504592507469,3.375115470337671,225.01238567227145,224.476948782802,954.9178757275902,1179.3948245103923,119.03645564003041,1060.3583688703618
2020-03-08,Toulon,1004,466,281,185,9,689,259,3,118,43,0,2,3.873932436922546,6.131257477870678,19.184654917546794,4.605173948148208,305.17387956877735,227.52986824200147,1332.3118036776077,1559.841671919609,118.32145950052039,1441.5202124190887
2020-03-09,Toulon,783,331,247,84,4,693,260,2,92,43,0,2,3.0099350842157953,4.779285110282795,15.881533130033336,3.514792794190394,181.55759945007156,228.92371872513414,560.3297759494083,789.2534946745424,92.23099692987536,697.022497744667
2020-03-10,Toulon,688,188,141,48,2,696,260,2,81,43,0,3,2.640650723854802,4.198750738296209,13.492790189803689,3.258605475102271,147.87802486823696,229.7108507885487,400.29467865550066,630.0055294440493,81.02780175635833,548.977727687691
2020-03-11,Toulon,695,168,127,41,2,698,260,2,81,43,0,4,2.667758253789761,4.241420083204116,14.18657591258913,3.507121022306278,160.77325562903377,230.3917994924505,403.60887448040705,634.0006739728576,81.85123792482082,552.1494360480368
2020-03-12,Toulon,747,221,169,53,3,700,260,2,88,43,0,3,2.8715642058426307,4.56194776108874,14.111113920501994,3.390219476634109,167.15904742500086,231.2595831377699,428.0566009223767,659.3161840601466,88.03680471833808,571.2793793418085
2020-03-13,Toulon,709,270,201,69,3,704,260,2,83,43,0,2,2.7248483744660863,4.331255866279303,12.3984044409033,2.822704338383896,132.13899399804177,232.40080083049443,407.3218211009885,639.7226219314829,83.58489549950151,556.1377264319814
2020-03-14,Toulon,1010,340,206,134,7,710,259,3,118,43,0,2,3.8952601602145105,6.164520131782106,13.740020583512864,3.2522355599599644,216.68708862095977,234.60917911785614,953.1893580079693,1187.7985371258255,118.9633646516033,1068.8351724742222
2020-03-15,Toulon,957,308,190,118,6,716,259,3,112,43,0,3,3.6905027614029686,5.844961459319347,17.998131881006692,4.023192912180753,254.1582868884385,236.56132560460546,1109.3890534224327,1345.950379027038,112.79649779626229,1233.1538812307758
2020-03-16,Toulon,654,245,184,61,3,719,260,2,77,43,0,2,2.508965492328117,3.9913440479090427,14.787201191974743,3.162898551131217,136.44454971199391,237.566213506662,421.0783186697782,658.6445321764402,77.02525213169233,581.6192800447478
2020-03-17,Toulon,831,258,196,62,3,722,259,3,97,43,0,3,3.197948092703223,5.074232633726295,14.027200790774522,3.3587418306011787,184.20387516028504,238.5890116884254,482.613893372569,721.2029050609945,97.92291601431394,623.2799890466805
2020-03-18,Toulon,196,60,45,15,1,723,262,0,23,43,0,3,0.7480113014972742,1.197905704900191,12.207758014366533,2.816409554628089,36.4644953379777,238.83941975838994,105.3035164338684,344.14293619225833,23.117272738807635,321.0256634534507
2020-03-19,Toulon,232,61,45,16,1,724,262,0,27,43,0,3,0.8869112698111421,1.4196000007555363,15.120318559643255,3.5109061633543845,53.86875994754536,239.10276937209613,154.79170738283995,393.8944767549361,27.39554562870337,366.4989311262327
2020-03-20,Toulon,182,69,52,17,1,725,262,0,21,43,0,2,0.6952497301070255,1.1136332515464213,15.397214562094488,3.3082310332213165,39.81894840347707,239.3902183214261,123.1705878309161,362.5608061523422,21.490976711851275,341.06982944049093
2020-03-21,Toulon,318,87,54,33,2,727,261,1,37,43,0,3,1.214097606966052,1.9408916157986644,11.35537362938036,2.51835432740405,52.828695115268395,239.94225044794973,241.3204264579521,481.2626769059018,37.455469704621834,443.80720720128
2020-03-22,Toulon,326,99,60,39,2,729,261,1,38,43,0,3,1.2454474687598651,1.990772201702551,14.644559101111044,3.3797087773811234,72.71978942480924,240.59228171144707,323.6243186986941,564.2166004101412,38.41806893425631,525.7985314758848
2020-03-23,Toulon,129,49,36,13,1,729,262,0,15,43,0,2,0.4896368885631718,0.7848998712805396,15.086399670390456,3.434685111635729,29.13754455437077,240.8083165791509,90.4118850014133,331.2202015805642,15.147055667924256,316.07314591264
2020-03-24,Toulon,305,89,66,23,1,730,261,1,35,43,0,3,1.1649519965888215,1.86267248863083,16.131926299559783,4.11815414428713,82.90693573086708,241.18987869693484,214.18615951903894,455.3760382159738,35.94599121334028,419.4300470026335
2020-03-25,Toulon,374,156,115,41,2,732,261,1,44,43,863,2,1.4296957359275542,2.2836895465111384,14.915314107190587,3.432736552297038,84.72845819377638,241.86245830711132,259.2864995780798,501.1489578851912,907.664829116104,-406.5158712309128
2020-03-26,Toulon,162,49,37,13,1,733,262,0,19,43,0,3,0.618417485435754,0.9908540281054459,10.984499626999487,2.410638646987643,25.816273850354758,242.07011776616545,80.56657189453932,322.63668966070475,19.12157419266007,303.51511546804466
2020-03-27,Toulon,140,48,36,11,1,734,262,0,16,43,0,2,0.5346732385917664,0.856947766713571,15.658002686967139,3.653268111458223,33.836673637842765,242.25602645166842,89.19003886876908,331.44606532043747,16.537441273543568,314.9086240468939
2020-03-28,Toulon,386,143,84,59,3,737,261,1,45,43,0,2,1.4760474148990985,2.3573150562749734,12.208269635188273,2.9390663578220964,74.88223304007472,243.22310035681724,348.3838997374396,591.6070000942568,45.491640004959066,546.1153600892977
2020-03-29,Toulon,278,123,73,50,3,739,261,1,32,43,0,2,1.0605492818177569,1.696410684807226,15.999289466315375,3.684725963089207,67.55973833652223,244.05074892221916,321.0268202831696,565.0775692053887,32.73745864745136,532.3401105579374
2020-03-30,Toulon,191,50,37,13,1,740,262,0,22,43,0,3,0.7289707338424405,1.1674973955961367,13.759979039458994,3.244789911133262,40.944377117018114,244.26115517540535,113.14845936196353,357.4096145373689,22.53045094070424,334.8791635966646
2020-03-31,Toulon,122,39,29,10,1,740,262,0,14,43,0,3,0.46611709117933775,0.7472637653704185,16.518717414962705,3.8201763044181405,30.853830943207864,244.42759175511162,88.97357491532298,333.4011666704346,14.420751317263024,318.98041535317157
2020-04-01,Toulon,298,140,106,33,2,742,261,1,35,43,0,2,1.1391453814815407,1.8215875639792336,12.689456601735376,3.0100447406751836,59.26179048980186,244.9769600286977,168.7734713029215,413.7504313316192,35.153131303967484,378.5973000276517
2020-04-02,Toulon,308,90,68,22,1,743,261,1,36,43,0,3,1.1756479378199778,1.8796984030213857,14.377520374523591,3.3015031127297454,67.07360496238607,245.34164144292768,184.55463191652632,429.89627335945397,36.27455856633311,393.6217147931209
2020-04-03,Toulon,237,76,56,20,1,744,262,0,27,43,0,3,0.9049534593362573,1.4483795020901467,12.139237528871059,2.8337473120459205,44.36037985221021,245.67263504139237,134.18590900720116,379.85854404859356,27.950934570351745,351.9076094782418
2020-04-04,Toulon,207,75,45,30,1,745,262,0,24,43,0,2,0.7892050716316501,1.2636782646671378,12.52515495283999,2.8879422682444025,39.443621986906614,246.16294339441632,183.33457094479058,429.4975143392069,24.38655645341247,405.1109578857944
2020-04-05,Toulon,359,100,60,39,2,747,261,1,42,43,0,3,1.3738045081966785,2.1948769802484707,13.433556058442212,2.839905198145288,67.36988275053956,246.80879780252627,323.7327042328205,570.5415020353468,42.35689802041806,528.1846040149287
2020-04-06,Toulon,219,73,54,19,1,748,262,0,25,43,0,2,0.8336589671547355,1.3346331039450474,15.31604498736085,3.4379553785277337,49.59225924505947,247.13032770838282,152.9698260088514,400.1001537172342,25.75584818064601,374.3443055365882
2020-04-07,Toulon,257,78,58,19,1,749,262,0,30,43,0,3,0.9818782061776273,1.5710397491309172,16.834587797667574,4.071358453790202,69.13186594000278,247.44939087291226,180.90946545920337,428.35885633211564,30.31804107418734,398.0408152579283
2020-04-08,Toulon,204,60,44,15,1,750,262,0,24,43,0,3,0.7766975435623014,1.2437101318709962,15.528423465234507,3.5985877424948014,48.37300128258151,247.70033697595812,136.16189905256894,383.86223602852704,24.001209952394177,359.8610260761329
2020-04-09,Toulon,274,102,77,25,1,751,261,1,32,43,0,2,1.046979626129608,1.6747912907458604,15.830883969699324,3.6170106679322194,65.47300116582362,248.11926774535968,187.36644495391238,435.4857126992721,32.320245984618275,403.1654667146538
2020-04-10,Toulon,224,115,85,30,1,753,262,0,26,43,0,1,0.8558387313350758,1.3700262713899818,12.102920551059343,2.664952466458202,39.46118543128627,248.6080674538375,134.75606828396974,383.36413573780726,26.438868139201936,356.92526759860533
2020-04-11,Toulon,461,149,90,59,3,756,261,1,54,43,0,3,1.7647015457263535,2.815236269302324,16.977967324660423,4.026187541025659,122.50691817970348,249.58579939537853,526.9143188975718,776.5001182929503,54.328637383914625,722.1714809090357
2020-04-12,Toulon,286,112,67,45,2,758,261,1,33,43,0,2,1.0904361118948425,1.7440190286737627,18.40554861967819,4.407386896350825,83.0776418143729,250.32416754210212,359.4122712749551,609.7364388170572,33.65620798248134,576.0802308345759
2020-04-13,Toulon,248,83,61,22,1,759,262,0,29,43,772,2,0.9462261878445756,1.5141997627103583,16.300587270592814,3.881198761518862,63.51858621980364,250.68268082306642,180.49903767192694,431.18171849499333,801.4098765195184,-370.2281580245251
2020-04-14,Toulon,217,51,38,13,1,760,262,0,25,43,0,4,0.8258991190855148,1.3222489880776926,17.21461909355421,4.194451225258765,59.943232240435336,250.90020403993114,157.3025746546794,408.2027786946105,25.51685859827443,382.6859200963361
2020-04-15,Toulon,192,82,63,19,1,761,262,0,22,43,0,2,0.730245088085537,1.1695327114098015,15.634249813887216,3.489935460868063,44.11451757214451,251.2202290894352,125.06864207583277,376.288871165268,22.569728615550957,353.71914254971705
2020-04-16,Toulon,239,69,51,17,1,762,262,0,28,43,0,3,0.9121254355874235,1.459818589335307,13.297519286786775,3.060483356487747,48.28816220249159,251.50759631552384,138.25328180909273,389.76087812461657,28.171686920597395,361.5891912040192
2020-04-17,Toulon,384,146,109,37,2,763,261,1,45,43,0,2,1.468712840617601,2.345666457683788,13.665816010164296,3.0386086251172624,77.03583407224764,252.1139959095827,234.65243356169682,486.76642947127954,45.26684448928886,441.49958498199067
2020-04-18,Toulon,325,93,57,36,2,765,261,1,38,43,519,3,1.2427423836306801,1.9864686227884032,13.986292702822027,3.314570016914149,71.16405263664693,252.71478374250924,303.68594648486487,556.4007302273741,558.0381679258912,-1.6374376985171466
2020-04-19,Toulon,275,97,58,39,2,767,261,1,32,43,0,2,1.0493411175613012,1.678553816642563,14.401985319441051,3.123291848767112,56.663005020734154,253.36310096241357,280.04909279442944,533.412193756843,32.392855487173534,501.01933826966945
2020-04-20,Toulon,295,79,58,20,1,768,261,1,34,43,0,3,1.1257632446828347,1.800279629751657,10.266574610323628,2.409910517630354,46.89134066023896,253.7005043129187,138.43678760796482,392.1372919208835,34.74192921600306,357.3953627048804
2020-04-21,Toulon,234,79,58,20,1,769,262,0,27,43,0,2,0.8928808613347374,1.4291226657619256,16.93988340947884,4.004551798873998,61.855053658730675,254.03314533086936,172.68489131881952,426.7180366496889,27.579314721088938,399.1387219285999
2020-04-22,Toulon,252,96,70,26,1,771,262,0,29,43,0,2,0.9611141228544896,1.5379374536100276,14.121112575169604,3.3135924696385666,55.07944218201371,254.46528143212495,171.20518870812657,425.6704701402515,29.679230531164865,395.9912396090866
2020-04-23,Toulon,328,110,82,28,1,772,261,1,38,43,0,2,1.2524942853211325,2.0019827220945925,14.6328386390557,3.5725464504424145,77.30186544913781,254.9287180580702,211.92511335855306,466.8538314166233,38.634410384494565,428.2194210321287
2020-04-24,Toulon,225,69,52,17,1,773,262,0,26,43,689,3,0.8595094002595799,1.375883135819954,16.071204480935613,3.7874216904096,56.32185819138905,255.20630672771563,148.80607104422154,404.01237777193717,715.5609858085168,-311.5486080365796
2020-04-25,Toulon,294,72,43,29,1,774,261,1,34,43,0,4,1.1237093088244303,1.7970090244227555,18.329142823157028,4.544414972881026,88.26326839797285,255.68375076635905,352.19288293244546,607.8766336988045,34.67881283288548,573.1978208659191
